size,VertexIndex,X_mean,X_std,X_min,X_max,Y_mean,Y_std,Y_min,Y_max,Z_mean,Z_std,Z_min,Z_max,Std_Combined
L,21,-0.26626504470001566,0.005702583130711539,-0.2781720161437988,-0.2517430186271667,-0.03828151835636654,0.0035647557446336414,-0.0456429980695247,-0.0312069989740848,-0.0031471001153642254,0.005095823747125776,-0.0146709904074668,0.0064809992909431,0.008437674889644975
L,22,-0.2219548543745821,0.004758514055711234,-0.2318640202283859,-0.2097640037536621,-0.03616700920868999,0.004120167163247948,-0.0443009994924068,-0.0276960004121065,0.020779700238596266,0.003375733471310003,0.0128190070390701,0.0275969952344894,0.0071424652565364784
L,23,-0.22174283550544216,0.004851346089928701,-0.231776013970375,-0.2093150019645691,-0.04268288189037275,0.004176378025917292,-0.0512199997901916,-0.0340569987893104,0.027457591078498097,0.00249362402352429,0.0212640017271041,0.0324760004878044,0.006869923803822629
L,24,-0.20107688998634163,0.004459887285412778,-0.2102610170841217,-0.1895860135555267,-0.03545020017772908,0.004417926534686904,-0.0440529994666576,-0.0257089994847774,0.024043009091507257,0.0026211409281370686,0.0178290009498596,0.0293419957160949,0.006802870660951334
L,25,-0.20269025266170498,0.004341539956152072,-0.2117240130901336,-0.1914510130882263,-0.028039190935140262,0.004265382028662147,-0.0366280004382133,-0.0186679996550083,0.016574363410472824,0.003526623454666021,0.0085730031132698,0.0238519981503486,0.007034168467722354
L,26,-0.2482053997841748,0.005859509999989112,-0.2602789998054504,-0.2329290062189102,-0.056835018267685666,0.0038754916412731305,-0.0652389973402023,-0.0492679998278617,0.01775040938095608,0.0036961401137957524,0.008769005537033,0.0250950008630752,0.00793818270401736
L,27,-0.2587751723148606,0.006119132756793299,-0.2716550230979919,-0.2426550090312957,-0.06268917281519278,0.0038429356324898908,-0.071272000670433,-0.0552640035748481,0.01473715447566721,0.0038470794726237086,0.0054700002074241,0.0224689990282058,0.008186083339387888
L,28,-0.256645109843124,0.006151239251312886,-0.2695710062980652,-0.2404759973287582,-0.0679097818380052,0.0038557292224411783,-0.0766339972615242,-0.0605209991335868,0.024868972802703983,0.0028790539195483055,0.0176240056753158,0.0307860001921653,0.007809823534200093
L,29,-0.24747940897941587,0.005755968821488349,-0.2592950165271759,-0.2325209975242614,-0.06226985474879087,0.003838594573389603,-0.0707660019397735,-0.0548040010035038,0.02664166384122583,0.0027495374385120247,0.0196370035409927,0.03226999938488,0.007444860072464851
L,30,-0.21041130762208587,0.0052559036756920875,-0.2209110110998153,-0.1974090039730072,-0.026397909190167032,0.0026929568758581137,-0.0323539972305297,-0.0202540010213851,0.08535842732949686,0.005837053009126389,0.0709990039467811,0.0972710028290748,0.00830347686302169
